HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Chromosome	Gene Family Name	UniProt ID(supplied by UniProt)
HGNC:5	A1BG			19q13.43	Immunoglobulin like domain containing	P04217
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43		
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	RNA binding motif containing	Q9NQ94
HGNC:7	A2M		FWP007, S863-7, CPAMD5	12p13.31	C3 and PZP like, alpha-2-macroglobulin domain containing	P01023
HGNC:27057	A2M-AS1			12p13.31		
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170	12p13.31	C3 and PZP like, alpha-2-macroglobulin domain containing	A8K2U0
HGNC:41022	A2ML1-AS1			12p13.31		
HGNC:41523	A2ML1-AS2			12p13.31		
HGNC:8	A2MP1	A2MP		12p13.31		
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S	1p35.1	Glycosyltransferase family 6	U3KPV4
HGNC:18149	A4GALT		A14GALT, Gb3S, P(k), P1	22q13.2	Alpha 1,4-glycosyltransferases	Q9NPC4
HGNC:17968	A4GNT		alpha4GnT	3q22.3	Alpha 1,4-glycosyltransferases	Q9UNA3
HGNC:13666	AAAS			12q13.13	Nucleoporins|WD repeat domain containing	Q9NRG9
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	12q24.31	Acyl-CoA synthetase family	Q86V21
HGNC:18226	AACSP1	AACSL		5q35.3		
HGNC:17	AADAC		DAC, CES5A1	3q25.1	Arylacetamide deacetylase family|Lipases	P22760
HGNC:24427	AADACL2		MGC72001	3q25.1	Arylacetamide deacetylase family	Q6P093
HGNC:50301	AADACL2-AS1			3q25.1		
HGNC:32037	AADACL3		OTTHUMG00000001887	1p36.21	Arylacetamide deacetylase family	Q5VUY0
HGNC:32038	AADACL4		OTTHUMG00000001889	1p36.21	Arylacetamide deacetylase family	Q5VUY2
HGNC:50305	AADACP1			3q25.1		
HGNC:17929	AADAT		KATII, KAT2, KYAT2	4q33		Q8N5Z0
HGNC:16881	AAED1	C9orf21		9q22.33		Q7RTV5
HGNC:25662	AAGAB		FLJ11506, p34	15q23		Q6PD74
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	2p13.3		Q2M2I8
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	11q14.1		Q9H7C9
HGNC:18	AAMP			2q35	WD repeat domain containing	Q13685
HGNC:19	AANAT		SNAT	17q25.1	GCN5 related N-acetyltransferases	Q16613
HGNC:15886	AAR2	C20orf4	bA234K24.2	20q11.23		Q9Y312
HGNC:33842	AARD	C8orf85	LOC441376	8q24.11		Q4LEZ3
HGNC:20	AARS		CMT2N, AlaRS	16q22.1	Aminoacyl tRNA synthetases, Class II	P49588
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	6p21.1	Aminoacyl tRNA synthetases, Class II	Q5JTZ9
HGNC:28417	AARSD1		MGC2744	17q21.31		Q9BTE6
HGNC:49894	AARSP1			4q28.3		
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	4q12	Acyl-CoA synthetase family	Q4L235
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3		Q9NRN7
HGNC:17366	AASS		LORSDH, LKRSDH	7q31.32		Q9UDR5
HGNC:51526	AATBC			21q22.3	Long non-coding RNAs	
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	17q12		Q9NY61
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	Protein phosphatase 1 regulatory subunits|Receptor Tyrosine Kinases	Q6ZMQ8
HGNC:40053	AATK-AS1			17q25.3		
HGNC:22	AAVS1		AAV	19q13		
HGNC:49667	ABALON		INXS	20q11.21	Long non-coding RNAs	
HGNC:23	ABAT		GABAT	16p13.2		P80404
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	9q31.1	ATP binding cassette subfamily A	O95477
HGNC:32	ABCA2	ABC2		9q34.3	ATP binding cassette subfamily A	Q9BZC7
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	16p13.3	ATP binding cassette subfamily A	Q99758
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	ATP binding cassette subfamily A	P78363
HGNC:35	ABCA5		EST90625	17q24.3	ATP binding cassette subfamily A	Q8WWZ7
HGNC:36	ABCA6		EST155051	17q24.2-q24.3	ATP binding cassette subfamily A	Q8N139
HGNC:37	ABCA7		ABCX	19p13.3	ATP binding cassette subfamily A	Q8IZY2
HGNC:38	ABCA8		KIAA0822	17q24.2	ATP binding cassette subfamily A	O94911
HGNC:39	ABCA9		EST640918	17q24.2	ATP binding cassette subfamily A	Q8IUA7
HGNC:39983	ABCA9-AS1			17q24.2		
HGNC:30	ABCA10		EST698739	17q24.3	ATP binding cassette subfamily A	Q8WWZ4
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	4p16.3	ATP binding cassette subfamily A	Q4W5N1
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	2q35	ATP binding cassette subfamily A	Q86UK0
HGNC:14638	ABCA13		FLJ33876, FLJ33951	7p12.3	ATP binding cassette subfamily A	Q86UQ4
HGNC:32972	ABCA17P			16p13.3	ATP binding cassette subfamily A	
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	CD molecules|ATP binding cassette subfamily B	P08183
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	ATP binding cassette subfamily B	P21439
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	7p21.1	ATP binding cassette subfamily B	Q2M3G0
HGNC:47	ABCB6		EST45597, umat, MTABC3	2q35	Blood group antigens|ATP binding cassette subfamily B	Q9NP58
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	Xq13.3	ATP binding cassette subfamily B	O75027
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1	7q36.1	ATP binding cassette subfamily B	Q9NUT2
HGNC:50	ABCB9		EST122234	12q24.31	ATP binding cassette subfamily B	Q9NP78
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	1q42.13	ATP binding cassette subfamily B	Q9NRK6
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2		
HGNC:31129	ABCB10P3			15q13.1		
HGNC:31130	ABCB10P4			15q13.1		
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	ATP binding cassette subfamily B	O95342
HGNC:51	ABCC1	MRP, MRP1	GS-X	16p13.11	ATP binding cassette subfamily C	P33527
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	10q24.2	ATP binding cassette subfamily C	Q92887
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	ATP binding cassette subfamily C	O15438
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	13q32.1	ATP binding cassette subfamily C	O15439
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	3q27.1	ATP binding cassette subfamily C	O15440
HGNC:40055	ABCC5-AS1			3q27.1		
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	ATP binding cassette subfamily C	O95255
HGNC:33352	ABCC6P1			16p12.3	Transcribed pseudogenes with published function	
HGNC:33353	ABCC6P2			16p13.11		
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	ATP binding cassette subfamily C	Q09428
HGNC:60	ABCC9		SUR2, CMD1O	12p12.1	ATP binding cassette subfamily C	O60706
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	6p21.1	ATP binding cassette subfamily C	Q5T3U5
HGNC:14639	ABCC11		MRP8	16q12.1	ATP binding cassette subfamily C	Q96J66
HGNC:14640	ABCC12		MRP9	16q12.1	ATP binding cassette subfamily C	Q96J65
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P	21q11.2	ATP binding cassette subfamily C	Q9NSE7
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	ATP binding cassette subfamily D	P33897
HGNC:62	ABCD1P1			2p11.2		
HGNC:63	ABCD1P2		bA453N3.6	10p11.1		
HGNC:64	ABCD1P3			16p11.2		
HGNC:65	ABCD1P4			22q11.1		
HGNC:42662	ABCD1P5			2p11.1		
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	12q12	ATP binding cassette subfamily D	Q9UBJ2
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	1p21.3	ATP binding cassette subfamily D|GOLD domain containing	P28288
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	14q24.3	ATP binding cassette subfamily D	O14678
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	ATP binding cassette subfamily E	P61221
HGNC:70	ABCF1	ABC50	EST123147	6p21.33	ATP binding cassette subfamily F	Q8NE71
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	ATP binding cassette subfamily F	Q9UG63
HGNC:48841	ABCF2P1			3p11.1		
HGNC:48842	ABCF2P2			7q11.22		
HGNC:72	ABCF3		EST201864	3q27.1	ATP binding cassette subfamily F	Q9NUQ8
HGNC:73	ABCG1		ABC8	21q22.3	ATP binding cassette subfamily G	P45844
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	CD molecules|Blood group antigens|ATP binding cassette subfamily G	Q9UNQ0
HGNC:13884	ABCG4		WHITE2	11q23.3	ATP binding cassette subfamily G	Q9H172
HGNC:13886	ABCG5		STSL	2p21	ATP binding cassette subfamily G	Q9H222
HGNC:13887	ABCG8		GBD4	2p21	ATP binding cassette subfamily G	Q9H221
HGNC:17553	ABHD1		LABH1, FLJ36128	2p23.3	Abhydrolase domain containing	Q96SE0
HGNC:18717	ABHD2		LABH2	15q26.1	Abhydrolase domain containing	P08910
HGNC:18718	ABHD3		LABH3	18q11.2	Abhydrolase domain containing	Q8WU67
HGNC:20154	ABHD4		FLJ12816	14q11.2	Abhydrolase domain containing	Q8TB40
HGNC:21396	ABHD5		CGI-58, NCIE2	3p21.33	Abhydrolase domain containing	Q8WTS1
HGNC:21398	ABHD6			3p14.3	Abhydrolase domain containing	Q9BV23
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	19p13.11	Abhydrolase domain containing	Q96I13
HGNC:25656	ABHD10		FLJ11342	3q13.2	Abhydrolase domain containing	Q9NUJ1
HGNC:16407	ABHD11	WBSCR21	PP1226	7q11.23	Abhydrolase domain containing	Q8NFV4
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	7q11.23	Long non-coding RNAs	
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	Abhydrolase domain containing	Q8N2K0
HGNC:19837	ABHD12B	C14orf29	BEM46L3	14q22.1	Abhydrolase domain containing	Q7Z5M8
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	Abhydrolase domain containing	Q7L211
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	3p21.2	Abhydrolase domain containing	Q9BUJ0
HGNC:38856	ABHD14A-ACY1			3p21.2		
