Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK1	phosphorylates	TCOF1	T983;S156;S583	CDK1_Y15_956	-5.5533513036333755	0.003874451	TCOF1_S156_2970	3.434784020859011	0.032232371
CDK1	phosphorylates	TCOF1	T983;S156;S583	CDK1_T14-Y15_954	-6.554494757555226	0.001423702	TCOF1_S156_2970	3.434784020859011	0.032232371
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA_S22_2423	-3.9472525419337607	0.019307676	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA_S390_1412	-9.303552753698362	9.11E-5	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA_S22_2427	-6.582510838825945	0.001384369	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA_S22_2426	-4.296207020885323	0.013620122	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA_S390-S392_1411	-4.3058607985183315	0.013489269	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4
MAPK1	phosphorylates	LMNA	S22	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4	LMNA_S22_2427	-6.582510838825945	0.001384369
MAPK1	phosphorylates	LMNA	S22	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4	LMNA_S22_2426	-4.296207020885323	0.013620122
MAPK1	phosphorylates	LMNA	S22	MAPK1_T185-Y187_3010	-6.956433049467976	9.52488E-4	LMNA_S22_2423	-3.9472525419337607	0.019307676
LMNA	phosphorylates	MAP2K2	S226;S222	LMNA_S22_2427	-6.582510838825945	0.001384369	MAP2K2_S226_1311	-6.387917982586584	0.001681754
LMNA	phosphorylates	MAP2K2	S226;S222	LMNA_S22_2426	-4.296207020885323	0.013620122	MAP2K2_S226_1311	-6.387917982586584	0.001681754
LMNA	phosphorylates	MAP2K2	S226;S222	LMNA_S22_2423	-3.9472525419337607	0.019307676	MAP2K2_S226_1311	-6.387917982586584	0.001681754
LMNA	phosphorylates	MAP2K2	S226;S222	LMNA_S390-S392_1411	-4.3058607985183315	0.013489269	MAP2K2_S226_1311	-6.387917982586584	0.001681754
LMNA	phosphorylates	MAP2K2	S226;S222	LMNA_S390_1412	-9.303552753698362	9.11E-5	MAP2K2_S226_1311	-6.387917982586584	0.001681754
