Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK1	phosphorylates	TCOF1	T983;S156;S583	CDK1_Y15_1572	4.580533574965778	0.010249426	TCOF1_S156_4524	-4.300586897147292	0.013560598
CDK1	phosphorylates	PRC1	T481;T470	CDK1_Y15_1572	4.580533574965778	0.010249426	PRC1_T481_1146	-3.888365513756483	0.020478791
CDK2	phosphorylates	RRN3	S44	CDK2_Y15_4597	-3.651066654683134	0.02596342	RRN3_S44_241	6.806647392949256	0.001106396
MAPK1	phosphorylates	CDCA5	S79;S209	MAPK1_Y187_4564	-4.56673112439866	0.010391874	CDCA5_S75-S79_1702	-3.8642374886050437	0.020978913
MAPK1	phosphorylates	LARP1	T303;S774	MAPK1_Y187_4564	-4.56673112439866	0.010391874	LARP1_S766-S774_3489	-6.176768145772417	0.00207713
CDK1	phosphorylates	LMNB1	S23;S393	CDK1_Y15_1572	4.580533574965778	0.010249426	LMNB1_S23_135	-8.929139255624092	1.32472E-4
CDK1	phosphorylates	LMNB1	S23;S393	CDK1_Y15_1572	4.580533574965778	0.010249426	LMNB1_S391-S393_2195	-3.3993366938159517	0.033395414
CDK1	phosphorylates	EPB41	S679;S712;T60	CDK1_T161_4820	4.323656448659817	0.013251342	EPB41_S712_2398	4.232141909678248	0.014521254
CDK1	phosphorylates	EPB41	S679;S712;T60	CDK1_Y15_1564	-3.545994428426949	0.028839929	EPB41_S712_2398	4.232141909678248	0.014521254
CDK1	phosphorylates	EPB41	S679;S712;T60	CDK1_Y15_1573	-7.206697846844636	7.41602E-4	EPB41_S712_2398	4.232141909678248	0.014521254
CDK2	phosphorylates	SF3B1	T426;T248;S259;T436;T313;T434;T354;T211;T244;T267;T432;T142;T261	CDK2_Y15_4597	-3.651066654683134	0.02596342	SF3B1_T426_4678	4.907557045830493	0.007390521
MAPK1	phosphorylates	DYNC1LI1	S516	MAPK1_Y187_4564	-4.56673112439866	0.010391874	DYNC1LI1_S516_1935	-4.294758963863653	0.013639859
MAPK1	phosphorylates	PRKAR1A	S83	MAPK1_Y187_4564	-4.56673112439866	0.010391874	PRKAR1A_S83_4246	-5.336292168171526	0.004813686
CDK2	phosphorylates	LRWD1	S245;S243	CDK2_Y15_4597	-3.651066654683134	0.02596342	LRWD1_S243_3150	6.436842063535383	0.001601456
CDK2	phosphorylates	RB1	S612;S249;S811;T821;S567;T356;S807;S230;T252;S608;T373;T826	CDK2_Y15_4597	-3.651066654683134	0.02596342	RB1_S249_4231	5.137116625479003	0.005874604
CDK1	phosphorylates	TOP2A	S1393;S1361;S1354;S1213;S1247	CDK1_Y15_1572	4.580533574965778	0.010249426	TOP2A_S1247_1606	-4.892422484139412	0.007503224
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S447_4441	4.396113469876965	0.012325149	IRS1_S527_4283	3.4261932722366457	0.032510464
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S427_797	7.12346279625383	8.05971E-4	IRS1_S527_4283	3.4261932722366457	0.032510464
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S447-S452_4440	4.7871509208684335	0.008336174	IRS1_S527_4283	3.4261932722366457	0.032510464
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S447_4441	4.396113469876965	0.012325149	IRS1_S312_4034	5.611791068621562	0.003654518
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S427_797	7.12346279625383	8.05971E-4	IRS1_S312_4034	5.611791068621562	0.003654518
RPS6KB1	phosphorylates	IRS1	S636;S307;S527;S312;S1101;S270;S639	RPS6KB1_S447-S452_4440	4.7871509208684335	0.008336174	IRS1_S312_4034	5.611791068621562	0.003654518
CDK1	phosphorylates	RB1	S249;S811;S807;T252;T373	CDK1_Y15_1573	-7.206697846844636	7.41602E-4	RB1_S249_4231	5.137116625479003	0.005874604
CDK1	phosphorylates	RB1	S249;S811;S807;T252;T373	CDK1_T161_4820	4.323656448659817	0.013251342	RB1_S249_4231	5.137116625479003	0.005874604
CDK1	phosphorylates	RB1	S249;S811;S807;T252;T373	CDK1_Y15_1564	-3.545994428426949	0.028839929	RB1_S249_4231	5.137116625479003	0.005874604
GSK3A	phosphorylates	SFPQ	T687	GSK3A_Y279_2785	-5.916845505572467	0.002693684	SFPQ_T687_1186	-4.244146601109244	0.014347973
CDK1	phosphorylates	RANGAP1	S428;S442;T409	CDK1_Y15_1572	4.580533574965778	0.010249426	RANGAP1_S442_1615	-4.925892663767148	0.007256246
CDK1	phosphorylates	TP53BP1	S1678;T1609	CDK1_Y15_1572	4.580533574965778	0.010249426	TP53BP1_S1678_2182	-7.8111174460804875	4.05205E-4
CDK1	phosphorylates	SAMHD1	T592	CDK1_Y15_1573	-7.206697846844636	7.41602E-4	SAMHD1_T592_2582	3.456063123331668	0.031553741
CDK1	phosphorylates	SAMHD1	T592	CDK1_T161_4820	4.323656448659817	0.013251342	SAMHD1_T592_2582	3.456063123331668	0.031553741
CDK1	phosphorylates	SAMHD1	T592	CDK1_Y15_1564	-3.545994428426949	0.028839929	SAMHD1_T592_2582	3.456063123331668	0.031553741
CDK2	phosphorylates	SAMHD1	T592	CDK2_Y15_4597	-3.651066654683134	0.02596342	SAMHD1_T592_2582	3.456063123331668	0.031553741
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_Y15_1573	-7.206697846844636	7.41602E-4	RPS6KB1_S447-S452_4440	4.7871509208684335	0.008336174
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_T161_4820	4.323656448659817	0.013251342	RPS6KB1_S447-S452_4440	4.7871509208684335	0.008336174
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_Y15_1564	-3.545994428426949	0.028839929	RPS6KB1_S447_4441	4.396113469876965	0.012325149
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_Y15_1573	-7.206697846844636	7.41602E-4	RPS6KB1_S447_4441	4.396113469876965	0.012325149
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_T161_4820	4.323656448659817	0.013251342	RPS6KB1_S447_4441	4.396113469876965	0.012325149
CDK1	phosphorylates	RPS6KB1	S447;S434;T444;S394	CDK1_Y15_1564	-3.545994428426949	0.028839929	RPS6KB1_S447-S452_4440	4.7871509208684335	0.008336174
PAK2	phosphorylates	HIST1H4A	S48	PAK2_S141_4894	4.794614247706454	0.00827419	HIST1H4A_S48_3019	4.4684252249102165	0.011465357
CDK1	phosphorylates	MAP7	S209	CDK1_Y15_1572	4.580533574965778	0.010249426	MAP7_S209_2396	-5.030363981126085	0.006536431
CDK1	phosphorylates	NSFL1C	S140	CDK1_Y15_1572	4.580533574965778	0.010249426	NSFL1C_S140_4791	-3.396952294806853	0.033475137
MAPK1	phosphorylates	RPS6KA3	S227;Y488;S369;T365;S386;T231;Y529;T573;S715	MAPK1_Y187_4564	-4.56673112439866	0.010391874	RPS6KA3_S715_2656	-4.609534897498009	0.009956448
