

Data type: org.panda.causalpath.data.PhosphoProteinData
Row ID	Change amount	P-value	Q-value
ARFGAP1_S295_2147	-13.39024282255993	1.53E-6	0.00326349
RPS6_S204_1976	12.168776860786476	5.19E-6	0.005535135
RPS6_S235_1977	12.168776860786476	5.19E-6	0.00369009
AKT1S1_T246_1456	-12.080321440224614	5.67E-6	0.0030235275
VIM_S39_2998	-11.670749550163796	8.54E-6	0.003643164
RSL1D1_S427_8	11.649891320043386	8.72E-6	0.00309996
RAVER1_S634_883	-11.493122837674049	1.02E-5	0.0031080857142857144
AKT1S1_T246_1457	-11.37316352259507	1.15E-5	0.0030661875
CAMSAP1_S862_510	-11.364505459851955	1.16E-5	0.0027492000000000003
PAK4_S474_1930	-11.330603908176274	1.2E-5	0.0025596
PTGES3_S113_117	11.322305105361579	1.21E-5	0.0023463
NPM1_S70_2990	11.176453228349015	1.4E-5	0.0024885
PFKFB2_S450_1719	-11.042921835724492	1.6E-5	0.002625230769230769
FLNA_S1459_342	-10.919598619692493	1.81E-5	0.0027576642857142855
MAP1B_S1400_3090	-10.845096092394574	1.95E-5	0.0027729
PSME3_S24_1045	-10.78537685769295	2.07E-5	0.0027595687499999996
TSC2_S950_2695	-10.490474537267684	2.78E-5	0.0034880823529411763
TSC2_S939_2694	-10.490474537267684	2.78E-5	0.0032943
ZFP36_S329_1940	-10.365523012132687	3.15E-5	0.0035362894736842105
PPHLN1_S139_526	10.331198269591612	3.26E-5	0.0034767899999999996
PPHLN1_S66_527	10.331198269591612	3.26E-5	0.0033112285714285714
TSC2_S950_2696	-10.212733802903749	3.67E-5	0.0035582318181818177
SMCR8_S417_3076	-10.085009429159518	4.17E-5	0.003867221739130435
NPM1_S70_2991	10.085009429159518	4.17E-5	0.0037060875
MACF1_S1371_1569	-9.881726060754616	5.11E-5	0.004359852
NPM1_S70_2992	9.819146404102376	5.44E-5	0.004462892307692308
ERRFI1_S251_2457	-9.808177372731803	5.5E-5	0.004345
EIF3F_S258_2772	-9.686764569024842	6.21E-5	0.004730689285714286
MDC1_S402-T404_2604	9.64266293425423	6.49E-5	0.004773506896551725
AHNAK_S559_1355	-9.496689999194185	7.51E-5	0.005339609999999999
HNRNPK_S216_974	-9.442272429323472	7.93E-5	0.005456351612903226
LMNA_S390_1412	-9.303552753698362	9.11E-5	0.006072384375000001
RIF1_S2205_2184	-9.292635614703013	9.21E-5	0.005953009090909091
NPM1_S70_2993	9.23156400842781	9.79E-5	0.006141785294117647
NIPBL_S892_2630	9.157207271071044	1.05457E-4	0.006426850885714286
SPTBN1_S2138_3130	-9.108226119734422	1.10751E-4	0.00656199675
USP10_S576_1649	-9.032897362633335	1.19416E-4	0.006884171027027027
RPLP2_S102-S105_1087	-9.00604534326083	1.22666E-4	0.006885436263157896
SRRM2_S952-S954_2333	8.992812559447609	1.243E-4	0.006798253846153847
PRKAB1_S108_2242	8.979728776054479	1.25937E-4	0.0067155905250000005
GOLGA4_S93_1472	-8.887431126872581	1.38114E-4	0.007185296634146342
EDC3_S131_2607	-8.881187715383875	1.38979E-4	0.007058147785714286
MPRIP_S619_1581	8.854555824322597	1.4273E-4	0.007080071860465117
HIST1H1E_S36_1077	8.79315751891403	1.51768E-4	0.007357298727272726
ACLY_S455_2755	-8.786871639428444	1.52725E-4	0.0072391650000000005
RIN1_S351_2559	-8.759901898225287	1.569E-4	0.007275384782608695
RIN1_S246_2558	-8.759901898225287	1.569E-4	0.007120589361702127
LASP1_S146_1584	8.723694742211926	1.62685E-4	0.007229314687500001
CDK1_T161_3181	-8.685268706652954	1.69058E-4	0.007359198244897959
MTA2_T534_1458	-8.63064748461158	1.78549E-4	0.007616900339999999
VIM_S419_1024	-8.624594677326497	1.79633E-4	0.007512886058823529
MDC1_S168_1426	-8.621315584974768	1.80223E-4	0.007392608826923077
ACIN1_S521_1795	8.555414404236435	1.925E-4	0.007747216981132075
ACIN1_S561_1796	8.555414404236435	1.925E-4	0.007603749999999999
THRAP3_T874_1676	8.549768037348416	1.9359E-4	0.007507772181818181
RPL12_S38_958	-8.549613082672348	1.9362E-4	0.007374847500000001
NFRKB_S298_1115	8.527187973257336	1.98011E-4	0.007409780052631579
TOR1AIP1_S156-S157_701	-8.330099705076885	2.41148E-4	0.008868425586206896
ATG2B_S497_2725	-8.293018172247942	2.50258E-4	0.009047462949152544
MARCKS_S170_1510	-8.26970830871587	2.5616E-4	0.009106488
TBC1D4_S570_2554	-8.243231058372704	2.63033E-4	0.009197530967213112
